pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,global multi band LTE Cat4 Module SIM7600G H Kit 4G breakout AND TECHNOLOGIES CO LTD Aliexpress,1,$27,,,,Y,,Aliexpress,https://www.aliexpress.com/i/4000449295553.html,
,WiFi/4G/3G/ Compact Omnidirectional Antenna with 5m Low Loss Lead & SMA Plug Connector - SIRETTA – OSCAR40/5M/LL/SMAM/S/S/33,1,£48.39,,,,,,CPC,https://cpc.farnell.com/siretta/oscar40-5m-ll-smam-s-s-33/4g-3gwifi-wall-mount-antenna-5m/dp/RF00700?st=3g%20antennas,
,OSCAR40/5M/LL/SMAM/S/S/33 ,1,£44.14,,,,,,Mouser,,
,1.13 Cable 30cm SMA Female Jak Bulkhead to Ufl./IPX Connector Extension Pigtail ,1,,£3.25,,,,,Ebay,,
,,,,,,,,,,,
,WAGO 233-504 4 Pole 6A 2.54mm Push Button PCB Terminal Block Orange,60,£0.201,,,,Y,,Rapid,https://www.rapidonline.com/wago-233-504-4-pole-6a-2-54mm-push-button-pcb-terminal-block-orange-21-5788,
,CamdenBoss CTB2500/2 2 Way 24A Standard Profile Terminal Block 10mm Pitch,5,£0.416,,,,Y,,Rapid,https://www.rapidonline.com/camdenboss-ctb2500-2-2-way-24a-standard-profile-terminal-block-10mm-pitch-21-4682,
,ST Stepper Motor Control/Driver L293D,6,£3.26,,,,Y,,Rapid,https://www.rapidonline.com/st-stepper-motor-control-driver-l293d-82-0192,
,TruConnect 16 Pin DIL Socket 7.62mm No Central Support (Tube of 30),1,£3.23,,,,Y,,Rapid,https://www.rapidonline.com/st-stepper-motor-control-driver-l293d-82-0192,
,,,,,,,,,,,
,,,,,,,,,,,
,"Motor controller, PiHut, MDD20A or 20A 6V-30V Single-Channel DC Motor Driver",2,,£22.5,,,Y,,PiHut,https://thepihut.com/products/20a-6v-30v-2-channel-dc-motor-driver,
,,,,,,,,,,,
,"PC 3828 18 T-2FSH ENCL Plastic Enclosure, Multipurpose, Polycarbonate, 380 mm, 280 mm, 180 mm, IK08, IP65",1,£276,,,,Y,,Farnell,https://uk.farnell.com/fibox/pc-3828-18-t-2fsh-enclosure/enclosure-multipurpose-gry-clr/dp/4140757,
,"PC 3828 18 T ENCLOSURE Plastic Enclosure, IK08 (Side) / IK09 (Front), DIN Rail, Polycarbonate, 180 mm, 278 mm, 378 mm",1,£182,,,,,,Farnell,https://uk.farnell.com/fibox/5330073/enclosure-pc-gry-clr-lid-380x280x180/dp/2366416,
,,,,,,,,,,,
,STMICROELECTRONICS NUCLEO-H723ZG,1,£27.02,,,,Y,,Farnell,https://uk.farnell.com/stmicroelectronics/nucleo-h723zg/dev-board-stm32-32bit-arm-cortex/dp/3576973,
,"WAGO 233-512. Wire-To-Board Terminal Block, 2.54 mm, 12 Ways, 28 AWG, 20 AWG, 0.5 mm², Push In",0,£6.67,,,,,,Farnell,https://uk.farnell.com/wago/233-512/tb-wire-to-brd-12pos-20awg/dp/1777102,
